ParticipantID,Question1,Question2,Question3
1,"I really enjoyed the user interface design","The app was easy to navigate","Would definitely recommend to friends"
2,"The design could be more intuitive","Some features were hard to find","Overall good experience but needs improvement"
3,"Great overall experience with the platform","Everything worked smoothly","Very satisfied with the service"
4,"The interface is too cluttered","Too many options to choose from","Confusing layout needs simplification"
5,"Excellent customer service experience","Staff was very helpful and friendly","Would use this service again"
6,"The website loads very slowly","Performance issues need to be addressed","Frustrating user experience"
7,"Love the modern design aesthetic","Clean and professional look","Makes me feel confident using the platform"
8,"Too many pop-ups and notifications","Annoying interruptions while using","Please reduce the number of alerts"
9,"The mobile app works perfectly","Responsive design on all devices","Great mobile experience"
10,"The search function doesn't work well","Hard to find what I'm looking for","Search needs better algorithms"
